cohort,trades_mean,n,mean_pnl_mean,win_rate_mean,mean_notional_mean,active_days_mean,long_share_mean,trade_freq_mean,profit_factor_mean,wr_Extreme Fear_mean,wr_Fear_mean,wr_Neutral_mean,wr_Greed_mean,wr_Extreme Greed_mean
0,2321.0,2,155.75452174526654,0.3156492907012207,5409.178272051732,18.5,0.5327423197078728,126.61988304093566,53.723339056962956,1.0,0.16025641025641027,0.0,0.832735935268075,0.5
1,2422.1428571428573,7,87.18895105819924,0.4021913453397724,3901.1521450443224,41.714285714285715,0.4166374308404546,83.75119082239874,2.8893951358243877,0.5746615258749485,0.8039117120410731,0.2516336580580165,0.8437348759533229,0.9149797570850202
2,6964.0,3,164.153497689382,0.3998055197217305,24353.57094905122,32.666666666666664,0.48601011837020147,203.68516483516484,3.9507475741564924,0.7691146752615557,0.8891482644212729,0.8262135762135762,0.5049278176473925,0.08536585365853659
3,21192.0,1,44.364090516232544,0.46758210645526616,3210.472831257078,28.0,0.528265383163458,756.8571428571429,100.0,1.0,0.9863122712080217,1.0,0.3333333333333333,0.0
4,3392.3333333333335,6,88.03167485215131,0.5294878782325977,3794.2393920396808,62.333333333333336,0.44589303735851216,47.06151890061954,30.634728045388428,0.9858738220448675,0.8814950708165136,0.9265955101183464,0.9503570658613425,0.9010318769264649
5,11415.363636363636,11,25.588842743488126,0.35347407986642554,4318.500396454125,133.0909090909091,0.5135169637909038,95.39967771360301,7.673968710644553,0.6280984506277518,0.8773567199896889,0.8666668397055943,0.8341246094932455,0.7833846256717806
6,810.0,2,428.8189392302262,0.3596115000707093,3793.595940686534,24.0,0.2539233089403953,31.664285714285715,0.0,0.5,1.0,1.0,1.0,1.0
